system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,CPA,0.8,3.5637681228379408,3.5639020549450118,3.564001319004685,0.09361459225877801,0.09361900632324939,0.09362103563264212
binary,CPA,0.8025,3.563769519154489,3.56390319400421,3.56400229873159,0.09361463084311074,0.0936190364594406,0.09362106270097052
binary,CPA,0.805,3.563770911525843,3.563904330489049,3.564003276712929,0.09361466931838858,0.09361906653232195,0.09362108972105278
binary,CPA,0.8075,3.563772299978064,3.5639054644138413,3.564004252956007,0.0936147076853302,0.09361909654221486,0.09362111669309163
binary,CPA,0.81,3.563773684536913,3.563906595792754,3.564005227468164,0.09361474594464841,0.0936191264894386,0.09362114361728933
binary,CPA,0.8125,3.563775065227929,3.5639077246398503,3.5640062002566277,0.09361478409705445,0.09361915637431012,0.09362117049384601
binary,CPA,0.815,3.563776442076355,3.563908850969079,3.564007171328586,0.09361482214323981,0.09361918619714409,0.09362119732296197
binary,CPA,0.8175,3.563777815107254,3.563909974794245,3.5640081406912927,0.09361486008389915,0.09361921595825187,0.09362122410483342
binary,CPA,0.82,3.563779184345355,3.5639110961290568,3.564009108351807,0.09361489791971853,0.09361924565794351,0.09362125083965618
binary,CPA,0.8225,3.5637805498151973,3.5639122149870968,3.5640100743172693,0.09361493565137377,0.09361927529652567,0.09362127752763136
binary,CPA,0.825,3.563781911541059,3.563913331381822,3.5640110385946673,0.09361497327953677,0.09361930487430445,0.09362130416895201
binary,CPA,0.8275,3.563783269547002,3.563914445326596,3.5640120011910636,0.09361501080487102,0.09361933439158177,0.09362133076381053
binary,CPA,0.83,3.5637846238568467,3.563915556834682,3.5640129621133507,0.09361504822803758,0.0936193638486572,0.09362135731239912
binary,CPA,0.8325,3.563785974494148,3.563916665919182,3.564013921368543,0.09361508554968703,0.09361939324583052,0.09362138381490909
binary,CPA,0.835,3.563787321482222,3.563917772593125,3.564014878963448,0.09361512277046742,0.09361942258339641,0.09362141027153255
binary,CPA,0.8375,3.563788664844211,3.563918876869427,3.564015834904996,0.09361515989101117,0.09361945186164856,0.0936214366824576
binary,CPA,0.84,3.5637900046030606,3.563919978760891,3.564016789199857,0.09361519691195648,0.09361948108087889,0.09362146304787025
binary,CPA,0.8425,3.563791340781423,3.563921078280212,3.5640177418548893,0.09361523383392979,0.09361951024137656,0.09362148936796374
binary,CPA,0.845,3.5637926734017658,3.5639221754399877,3.564018692876815,0.09361527065754932,0.09361953934342872,0.09362151564291617
binary,CPA,0.8475,3.56379400248634,3.563923270252715,3.5640196422722923,0.09361530738343628,0.09361956838731997,0.09362154187291481
binary,CPA,0.85,3.563795328057139,3.563924362730759,3.564020590048008,0.09361534401219253,0.09361959737333363,0.09362156805814814
binary,CPA,0.8525,3.563796650136025,3.5639254528864317,3.5640215362105523,0.09361538054442553,0.09361962630175083,0.09362159419879086
binary,CPA,0.855,3.563797968744604,3.563926540731897,3.564022480766432,0.0936154169807318,0.09361965517284929,0.09362162029503149
binary,CPA,0.8575,3.563799283904312,3.5639276262792583,3.564023423722232,0.09361545332170444,0.09361968398690675,0.09362164634704818
binary,CPA,0.86,3.563800595636364,3.5639287095404852,3.5640243650844927,0.09361548956792956,0.09361971274419727,0.0936216723550188
binary,CPA,0.8625,3.563801903961749,3.563929790527478,3.564025304859617,0.09361552571998683,0.09361974144499369,0.0936216983191233
binary,CPA,0.865,3.563803208901315,3.56393086925201,3.5640262430539913,0.09361556177845307,0.09361977008956643,0.09362172423953874
binary,CPA,0.8675,3.563804510475639,3.563931945725814,3.564027179674073,0.09361559774389784,0.09361979867818465,0.09362175011643993
binary,CPA,0.87,3.5638058087051983,3.563933019960466,3.5640281147261508,0.09361563361688713,0.09361982721111496,0.0936217759500076
binary,CPA,0.8725,3.563807103610205,3.563934091967494,3.564029048216534,0.09361566939797798,0.09361985568862198,0.09362180174041233
binary,CPA,0.875,3.563808395210763,3.563935161758299,3.564029980151547,0.09361570508772651,0.0936198841109683,0.09362182748782628
binary,CPA,0.8775,3.5638096835266992,3.5639362293442423,3.56403091053737,0.09361574068668532,0.09361991247841596,0.09362185319242321
binary,CPA,0.88,3.563810968577699,3.563937294736529,3.564031839380218,0.09361577619539131,0.09361994079122302,0.0936218788543728
binary,CPA,0.8825,3.563812250383343,3.56393835794633,3.564032766686263,0.09361581161439098,0.09361996904964737,0.09362190447384706
binary,CPA,0.885,3.563813528962884,3.563939418984677,3.564033692461618,0.09361584694421499,0.09361999725394432,0.09362193005101863
binary,CPA,0.8875,3.563814804335485,3.563940477862571,3.564034616712393,0.09361588218539227,0.09362002540436709,0.09362195558605164
binary,CPA,0.89,3.563816076520203,3.563941534590899,3.564035539444641,0.09361591733845272,0.09362005350116805,0.09362198107911313
binary,CPA,0.8925,3.563817345535793,3.563942589180461,3.564036460664386,0.09361595240390817,0.09362008154459664,0.09362200653037066
binary,CPA,0.895,3.5638186114008628,3.56394364164196,3.564037380377607,0.09361598738228105,0.09362010953490107,0.09362203193998972
binary,CPA,0.8975,3.563819874133959,3.563944691986049,3.564038298590257,0.09361602227408151,0.09362013747232864,0.09362205730813694
binary,CPA,0.9,3.563821133753343,3.563945740223267,3.564039215308291,0.09361605707980923,0.09362016535712295,0.09362208263497483
binary,CPA,0.9025,3.563822390277169,3.563946786364081,3.564040130537513,0.09361609179997307,0.09362019318952791,0.09362210792066299
binary,CPA,0.905,3.563823643723472,3.563947830418896,3.56404104428388,0.09361612643506911,0.09362022096978422,0.09362213316536966
binary,CPA,0.9075,3.563824894110004,3.5639488723980133,3.5640419565531247,0.09361616098558459,0.09362024869813125,0.09362215836925057
binary,CPA,0.91,3.563826141454471,3.5639499123116587,3.5640428673511,0.09361619545201576,0.09362027637480755,0.09362218353246522
binary,CPA,0.9125,3.563827385774417,3.563950950170001,3.5640437766835027,0.09361622983483935,0.09362030400004914,0.09362220865517384
binary,CPA,0.915,3.563828627087106,3.563951985983087,3.564044684556098,0.09361626413454041,0.09362033157409035,0.0936222337375338
binary,CPA,0.9175,3.563829865409811,3.5639530197609144,3.564045590974571,0.09361629835159396,0.09362035909716449,0.09362225877970733
binary,CPA,0.92,3.5638311007595966,3.563954051513416,3.564046495944514,0.0936163324864688,0.09362038656950271,0.0936222837818441
binary,CPA,0.9225,3.563832333153345,3.563955081250458,3.564047399471645,0.09361636653963622,0.09362041399133486,0.09362230874410604
binary,CPA,0.925,3.563833562607823,3.563956108981775,3.564048301561479,0.09361640051155534,0.09362044136288894,0.09362233366664181
binary,CPA,0.9275,3.563834789139621,3.563957134717079,3.564049202219625,0.0936164344026853,0.09362046868439178,0.09362235854960664
binary,CPA,0.93,3.563836012765244,3.563958158465995,3.564050101451579,0.09361646821348787,0.09362049595606815,0.09362238339315393
binary,CPA,0.9325,3.56383723350105,3.563959180238089,3.564050999262892,0.09361650194440792,0.09362052317814155,0.09362240819743768
binary,CPA,0.935,3.5638384513631642,3.563960200042823,3.564051895658947,0.0936165355958948,0.09362055035083404,0.09362243296260497
