system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
lmh,PR,35,0.0875,Middle_nC10,4.586455327624521e-07,0.10212691222315683,0.11885050932084425,0.00041570385199615815
lmh,PR,35,0.0875,Heavy_squalane,3.325558940544352e-06,0.7405044675095807,0.8617643596779428,0.00041570385199615815
lmh,PR,36,0.09,H2O,6.319051816085255e-07,0.1407037442842681,0.0,0.0004166496788480722
lmh,PR,36,0.09,Light_nC4,7.480956724319096e-08,0.01665754060222868,0.019385096224298272,0.0004166496788480722
lmh,PR,36,0.09,Middle_nC10,4.586593224560506e-07,0.10212779685739662,0.11885050839926156,0.0004166496788480722
lmh,PR,36,0.09,Heavy_squalane,3.325659090765504e-06,0.7405109182561066,0.8617643953764401,0.0004166496788480722
lmh,PR,37,0.0925,H2O,6.318852581849543e-07,0.14069629758562707,0.0,0.0004175964133850033
lmh,PR,37,0.0925,Light_nC4,7.481168209803134e-08,0.016657655090071815,0.01938506146694009,0.0004175964133850033
lmh,PR,37,0.0925,Middle_nC10,4.586731075342631e-07,0.10212868111139865,0.11885050748000876,0.0004175964133850033
lmh,PR,37,0.0925,Heavy_squalane,3.325759207381468e-06,0.7405173662129025,0.8617644310530512,0.0004175964133850033
lmh,PR,38,0.095,H2O,6.318653464843519e-07,0.14068885448162255,0.0,0.0004185440037219412
lmh,PR,38,0.095,Light_nC4,7.481379638781988e-08,0.01665776952603365,0.019385026730899542,0.0004185440037219412
lmh,PR,38,0.095,Middle_nC10,4.58686888702093e-07,0.10212956494020217,0.11885050656312941,0.0004185440037219412
lmh,PR,38,0.095,Heavy_squalane,3.325859295495899e-06,0.7405238110521416,0.8617644667059712,0.0004185440037219412
lmh,PR,39,0.0975,H2O,6.318454456381797e-07,0.14068141526278655,0.0,0.0004194924091453059
lmh,PR,39,0.0975,Light_nC4,7.481590983492092e-08,0.016657883905642434,0.01938499201752578,0.0004194924091453059
lmh,PR,39,0.0975,Middle_nC10,4.587006642254751e-07,0.10213044830930529,0.11885050564865601,0.0004194924091453059
lmh,PR,39,0.0975,Heavy_squalane,3.325959342529128e-06,0.7405302525222658,0.8617645023338182,0.0004194924091453059
lmh,PR,40,0.1,H2O,6.3182555679714e-07,0.1406739801465058,0.0,0.00042044159826342716
lmh,PR,40,0.1,Light_nC4,7.481802244468375e-08,0.016657998225550582,0.019384957327826045,0.00042044159826342716
lmh,PR,40,0.1,Middle_nC10,4.587144341133829e-07,0.1021313311928913,0.1188505047366116,0.00042044159826342716
lmh,PR,40,0.1,Heavy_squalane,3.32605934854158e-06,0.7405366904350523,0.8617645379355623,0.00042044159826342716
lmh,PR,41,0.1025,H2O,6.318056802478755e-07,0.14066654929000422,0.0,0.00042139154739005604
lmh,PR,41,0.1025,Light_nC4,7.482013415628122e-08,0.01665811248333526,0.01938492266252646,0.00042139154739005604
lmh,PR,41,0.1025,Middle_nC10,4.587281979756787e-07,0.10213221357228786,0.11885050382701208,0.00042139154739005604
lmh,PR,41,0.1025,Heavy_squalane,3.326159310701103e-06,0.7405431246543727,0.8617645735104615,0.00042139154739005604
lmh,PR,42,0.105,H2O,6.317858160699241e-07,0.1406591228005228,0.0,0.0004223422392793864
lmh,PR,42,0.105,Light_nC4,7.482224491437756e-08,0.016658226677341893,0.019384888022119597,0.0004223422392793864
lmh,PR,42,0.105,Middle_nC10,4.587419554613892e-07,0.1021330954347572,0.11885050291986661,0.0004223422392793864
lmh,PR,42,0.105,Heavy_squalane,3.326259226460634e-06,0.740549555087378,0.8617646090580137,0.0004223422392793864
lmh,PR,43,0.1075,H2O,6.317659653263982e-07,0.14065170074711608,0.0,0.00042329366164157165
lmh,PR,43,0.1075,Light_nC4,7.482435480306304e-08,0.016658340806502938,0.019384853406919724,0.00042329366164157165
lmh,PR,43,0.1075,Middle_nC10,4.587557070785752e-07,0.10213397677209636,0.11885050201517997,0.00042329366164157165
lmh,PR,43,0.1075,Heavy_squalane,3.326359099502648e-06,0.7405559816742847,0.8617646445779003,0.00042329366164157165
lmh,PR,44,0.11,H2O,6.317461276327419e-07,0.14064428316932076,0.0,0.0004242458060512923
lmh,PR,44,0.11,Light_nC4,7.482646375272084e-08,0.01665845487020466,0.019384818817103314,0.0004242458060512923
lmh,PR,44,0.11,Middle_nC10,4.587694523961505e-07,0.10213485757960712,0.11885050111295294,0.0004242458060512923
lmh,PR,44,0.11,Heavy_squalane,3.326458926700684e-06,0.7405624043808675,0.8617646800699437,0.0004242458060512923
lmh,PR,45,0.1125,H2O,6.317263022480497e-07,0.14063687008195577,0.0,0.00042519866734492975
lmh,PR,45,0.1125,Light_nC4,7.482857166636534e-08,0.016658568868213413,0.019384784252731563,0.00042519866734492975
lmh,PR,45,0.1125,Middle_nC10,4.587831908179423e-07,0.10213573785552676,0.11885050021318375,0.00042519866734492975
lmh,PR,45,0.1125,Heavy_squalane,3.326558703731793e-06,0.7405688231943041,0.8617647155340846,0.00042519866734492975
lmh,PR,46,0.115,H2O,6.317064902293529e-07,0.1406294614828877,0.0,0.00042615224263319116
lmh,PR,46,0.115,Light_nC4,7.483067867015881e-08,0.016658682800556202,0.019384749713786568,0.00042615224263319116
lmh,PR,46,0.115,Middle_nC10,4.587969231177856e-07,0.10213661760010523,0.11885049931586807,0.00042615224263319116
lmh,PR,46,0.115,Heavy_squalane,3.326658436207104e-06,0.7405752381164509,0.8617647509703453,0.00042615224263319116
lmh,PR,47,0.1175,H2O,6.316866908482483e-07,0.14062205735251762,0.0,0.00042710653137467263
lmh,PR,47,0.1175,Light_nC4,7.483278468928339e-08,0.01665879666752867,0.019384715200169062,0.00042710653137467263
lmh,PR,47,0.1175,Middle_nC10,4.588106488392006e-07,0.10213749681566654,0.11885049842099964,0.00042710653137467263
lmh,PR,47,0.1175,Heavy_squalane,3.32675812081732e-06,0.7405816491642873,0.8617647863788312,0.00042710653137467263
lmh,PR,48,0.12,H2O,6.316669048188108e-07,0.14061465766515618,0.0,0.00042806153391381364
lmh,PR,48,0.12,Light_nC4,7.483488982346002e-08,0.016658910469520206,0.019384680711751503,0.00042806153391381364
lmh,PR,48,0.12,Middle_nC10,4.588243685964976e-07,0.1021383755052583,0.11885049752857194,0.00042806153391381364
lmh,PR,48,0.12,Heavy_squalane,3.326857762017379e-06,0.7405880563600653,0.8617648217596766,0.00042806153391381364
lmh,PR,49,0.1225,H2O,6.31647131103727e-07,0.1406072623799798,0.0,0.00042901725265052
lmh,PR,49,0.1225,Light_nC4,7.48369939740324e-08,0.01665902420715301,0.019384646248335868,0.00042901725265052
lmh,PR,49,0.1225,Middle_nC10,4.588380817893669e-07,0.10213925367372491,0.11885049663857611,0.00042901725265052
lmh,PR,49,0.1225,Heavy_squalane,3.326957355455561e-06,0.7405944597391422,0.8617648571130881,0.00042901725265052
lmh,PR,50,0.125,H2O,6.316273702286902e-07,0.14059987145848818,0.0,0.00042997368978397267
lmh,PR,50,0.125,Light_nC4,7.483909722612016e-08,0.01665913788101363,0.019384611809735074,0.00042997368978397267
lmh,PR,50,0.125,Middle_nC10,4.588517889440008e-07,0.10214013132563493,0.11885049575100365,0.00042997368978397267
lmh,PR,50,0.125,Heavy_squalane,3.327056904948167e-06,0.7406008593348632,0.8617648924392612,0.00042997368978397267
lmh,PR,51,0.1275,H2O,6.31607622011119e-07,0.1405924848485797,0.0,0.0004309308493756767
lmh,PR,51,0.1275,Light_nC4,7.484119958911962e-08,0.016659251491897915,0.01938457739569882,0.0004309308493756767
lmh,PR,51,0.1275,Middle_nC10,4.588654901238128e-07,0.10214100846717226,0.11885049486584474,0.0004309308493756767
lmh,PR,51,0.1275,Heavy_squalane,3.327156410956256e-06,0.7406072551923502,0.8617649277384564,0.0004309308493756767
lmh,PR,52,0.13,H2O,6.315878857946397e-07,0.14058510250082254,0.0,0.0004318887352371783
lmh,PR,52,0.13,Light_nC4,7.484330101468138e-08,0.01665936504056075,0.01938454300598937,0.0004318887352371783
lmh,PR,52,0.13,Middle_nC10,4.588791850378719e-07,0.10214188510420387,0.11885049398308997,0.0004318887352371783
lmh,PR,52,0.13,Heavy_squalane,3.327255871371533e-06,0.7406136473544129,0.8617649630109208,0.0004318887352371783
