input_index,phase_presence_mask,K_gas_over_oil_0_H2O,K_gas_over_oil_1_Heavy_squalane,K_water_over_oil_0_H2O,K_water_over_oil_1_Heavy_squalane,z_0_H2O,z_1_Heavy_squalane,beta_oil,beta_gas,beta_water,Z_oil,Z_gas,Z_water,phase_hysteresis_suppression_mask
10,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24924269241830999e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
11,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24922247958594212e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
12,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24920250707656155e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
13,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24918277304129166e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
14,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24916327565334129e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
15,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24914401310784484e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
16,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24912498362168911e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
17,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24910618543334806e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
18,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24908761680271674e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
19,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24906927601095852e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
20,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24905116136033456e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
21,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24903327117405460e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
22,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24901560379611531e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
23,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24899815759115285e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
24,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24898093094428475e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
25,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24896392226096253e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
26,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24894712996682244e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
