case,step,pvi,cell,x_m,water_saturation,oil_saturation,gas_saturation
binary,30,0.75,53,1.07,0.35875590102506427,0.6412440989749357,0.0
binary,30,0.75,54,1.0899999999999999,0.3559875880191724,0.6440124119808276,0.0
binary,30,0.75,55,1.1099999999999999,0.35326004773001707,0.6467399522699829,0.0
binary,30,0.75,56,1.13,0.3505714439913639,0.6494285560086361,0.0
binary,30,0.75,57,1.15,0.3479200216561563,0.6520799783438437,0.0
binary,30,0.75,58,1.1700000000000002,0.34530410006301876,0.6546958999369813,0.0
binary,30,0.75,59,1.19,0.34272206696857177,0.6572779330314282,0.0
binary,40,1.0,0,0.01,0.8781931867122331,0.12180681328776687,0.0
binary,40,1.0,1,0.029999999999999995,0.8263796511977527,0.17362034880224736,0.0
binary,40,1.0,2,0.05,0.7879903011817562,0.21200969881824389,0.0
binary,40,1.0,3,0.07,0.7571573552513028,0.24284264474869718,0.0
binary,40,1.0,4,0.09,0.7313438978686432,0.2686561021313568,0.0
binary,40,1.0,5,0.11,0.7091467715649875,0.2908532284350126,0.0
binary,40,1.0,6,0.13,0.6896901002847347,0.31030989971526524,0.0
binary,40,1.0,7,0.15,0.6723849498447145,0.32761505015528547,0.0
binary,40,1.0,8,0.16999999999999998,0.656814424055033,0.34318557594496707,0.0
binary,40,1.0,9,0.19,0.6426719009690977,0.3573280990309024,0.0
binary,40,1.0,10,0.21,0.6297250283113281,0.3702749716886719,0.0
binary,40,1.0,11,0.22999999999999998,0.617793435811987,0.38220656418801296,0.0
binary,40,1.0,12,0.25,0.6067342800923831,0.3932657199076169,0.0
binary,40,1.0,13,0.26999999999999996,0.5964325114577264,0.40356748854227364,0.0
binary,40,1.0,14,0.29,0.5867941142497705,0.4132058857502296,0.0
binary,40,1.0,15,0.30999999999999994,0.5777412883779702,0.42225871162202966,0.0
binary,40,1.0,16,0.33,0.5692089370678097,0.4307910629321903,0.0
binary,40,1.0,17,0.35,0.5611420566616034,0.43885794333839656,0.0
binary,40,1.0,18,0.37,0.5534937635430939,0.446506236456906,0.0
binary,40,1.0,19,0.38999999999999996,0.5462237800420428,0.45377621995795736,0.0
binary,40,1.0,20,0.41,0.5392972568211065,0.46070274317889354,0.0
binary,40,1.0,21,0.43,0.5326838458255204,0.4673161541744795,0.0
